Wall time,Step,Value
1733354431.9088511,1,10.326419830322266
1733354497.1348095,2,8.44946002960205
1733354558.9312572,3,7.724209785461426
1733354632.7132509,4,7.4105000495910645
1733354694.039541,5,7.382709980010986
1733354750.7931302,6,7.289770126342773
1733354854.8069825,7,7.346429824829102
1733354931.786983,8,7.298699855804443
1733354990.8157208,9,7.384970188140869
1733355047.5304046,10,7.357729911804199
1733355151.7260656,11,7.371699810028076
1733355221.8311422,12,7.2025299072265625
1733355277.0472662,13,7.185699939727783
1733355333.568045,14,7.1095099449157715
1733355438.745555,15,7.1137800216674805
1733355506.53516,16,7.093220233917236
1733355562.792994,17,6.991980075836182
1733355619.2091002,18,7.02754020690918
1733355722.3059433,19,7.012710094451904
1733355791.7128596,20,6.975249767303467
1733355848.3389213,21,6.889780044555664
1733355905.268104,22,6.805359840393066
1733356008.2719607,23,6.7790398597717285
1733356080.2518547,24,6.699309825897217
1733356136.2572026,25,6.70035982131958
1733356194.554166,26,6.648890018463135
1733356301.0059423,27,6.686039924621582
1733356371.1517944,28,6.559810161590576
1733356428.171634,29,6.579619884490967
1733356485.008768,30,6.531290054321289
1733356590.5918562,31,6.417749881744385
1733356660.5793262,32,6.476809978485107
1733356717.1061437,33,6.411670207977295
1733356774.8743098,34,6.365270137786865
1733356874.4903164,35,6.332890033721924
1733356942.567619,36,6.324610233306885
1733356999.3018122,37,6.395080089569092
1733357054.228163,38,6.302380084991455
1733357158.231348,39,6.287139892578125
1733357228.3996286,40,6.17756986618042
1733357285.417283,41,6.1326398849487305
1733357340.6292655,42,6.1180100440979
1733357441.9443293,43,6.035900115966797
1733357512.6331773,44,6.015580177307129
1733357570.1881528,45,5.989630222320557
1733357626.6476934,46,5.877240180969238
1733357727.8769732,47,5.908010005950928
1733357797.8408272,48,5.867269992828369
1733357854.6705887,49,5.782559871673584
1733357909.5731988,50,5.84660005569458
1733358013.5147805,51,5.812860012054443
1733358085.4019706,52,5.67572021484375
1733358141.3865206,53,5.616529941558838
1733358200.1030433,54,5.679059982299805
1733358302.5452797,55,5.627289772033691
1733358372.666235,56,5.610209941864014
